timestamp,CPS
2025-11-05 19:15:35,17
2025-11-05 19:15:45,8
2025-11-05 19:15:55,12
2025-11-05 19:16:05,19
2025-11-05 19:16:15,10
2025-11-05 19:16:25,18
2025-11-05 19:16:35,23
2025-11-05 19:16:45,20
2025-11-05 19:16:55,12
2025-11-05 19:17:05,4
2025-11-05 19:17:15,2
2025-11-05 19:17:25,19
2025-11-05 19:17:35,26
2025-11-05 19:17:45,10
2025-11-05 19:17:55,14
2025-11-05 19:18:05,15
2025-11-05 19:18:15,21
2025-11-05 19:18:25,14
2025-11-05 19:18:35,10
2025-11-05 19:18:45,14
2025-11-05 19:18:55,10
2025-11-05 19:19:05,12
2025-11-05 19:19:15,14
2025-11-05 19:19:25,10
2025-11-05 19:19:35,22
2025-11-05 19:19:45,22
2025-11-05 19:19:55,29
2025-11-05 19:20:05,6
2025-11-05 19:20:15,14
2025-11-05 19:20:25,8
2025-11-05 19:20:35,10
2025-11-05 19:20:45,14
2025-11-05 19:20:55,14
2025-11-05 19:21:05,24
2025-11-05 19:21:15,18
2025-11-05 19:21:25,6
2025-11-05 19:21:35,19
2025-11-05 19:21:45,10
